system,family,configuration,map,ndcg,ndcg_cut_10,P_5,P_10,recall_100,recip_rank,index_time_s,search_time_s,ms_per_query
"SmartVSM + Rocchio(a=1.0,b=0.75,g=0.0,k=8,m=30)",rocchio,"Rocchio(a=1.0,b=0.75,g=0.0,k=8,m=30)",0.3389,0.5492,0.3884,0.3347,0.2547,0.7817,0.5545,0.322,0.362,2.41
"SmartVSM + Rocchio(a=1.0,b=1.0,g=0.15,k=10,m=30)",rocchio,"Rocchio(a=1.0,b=1.0,g=0.15,k=10,m=30)",0.3357,0.5474,0.3851,0.3307,0.256,0.7864,0.5487,0.322,0.364,2.43
"SmartVSM + Rocchio(a=1.2,b=0.6,g=0.2,k=15,m=40)",rocchio,"Rocchio(a=1.2,b=0.6,g=0.2,k=15,m=40)",0.3311,0.5468,0.3831,0.3267,0.2467,0.7804,0.5557,0.322,0.405,2.7
"SmartVSM + Rocchio(a=1.0,b=0.5,g=0.1,k=10,m=25)",rocchio,"Rocchio(a=1.0,b=0.5,g=0.1,k=10,m=25)",0.3308,0.5439,0.3792,0.3333,0.2493,0.7687,0.5478,0.322,0.345,2.3
"SmartVSM + Rocchio(a=1.0,b=0.5,g=0.0,k=5,m=15)",rocchio,"Rocchio(a=1.0,b=0.5,g=0.0,k=5,m=15)",0.3305,0.5456,0.388,0.3227,0.256,0.7666,0.5414,0.322,0.275,1.84
"SmartVSM + Rocchio(a=1.0,b=0.75,g=0.15,k=10,m=20)",rocchio,"Rocchio(a=1.0,b=0.75,g=0.15,k=10,m=20)",0.3302,0.5433,0.3799,0.3307,0.2507,0.7758,0.55,0.322,0.331,2.21
"SmartVSM + Rocchio(a=1.0,b=0.4,g=0.05,k=20,m=50)",rocchio,"Rocchio(a=1.0,b=0.4,g=0.05,k=20,m=50)",0.3276,0.5441,0.3846,0.3293,0.252,0.7696,0.5513,0.322,0.463,3.09
"SmartVSM + Rocchio(a=1.0,b=0.3,g=0.0,k=5,m=10)",rocchio,"Rocchio(a=1.0,b=0.3,g=0.0,k=5,m=10)",0.3213,0.5389,0.3791,0.3213,0.2467,0.7489,0.5479,0.322,0.247,1.65
